City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Westport,US,2021-04-19 01:07:27,41.1415,-73.3579,54.0,66,90,5.75
110,Saiha,IN,2021-04-19 01:03:18,22.4833,92.9667,74.64,57,0,0.38
111,Byron Bay,AU,2021-04-19 01:07:48,-28.65,153.6167,69.8,64,5,9.22
112,Ixtapa,MX,2021-04-19 01:06:56,20.7,-105.2,77.0,69,1,9.22
113,Carutapera,BR,2021-04-19 01:06:35,-1.195,-46.02,75.9,93,99,4.5
114,Yabelo,ET,2021-04-19 01:07:48,4.8833,38.0833,58.8,90,100,6.76
115,Naze,JP,2021-04-19 01:07:49,28.3667,129.4833,68.0,56,75,16.11
116,Martapura,ID,2021-04-19 01:07:49,-3.4167,114.85,78.8,89,100,4.61
117,Tripoli,LY,2021-04-19 01:07:50,32.8752,13.1875,57.78,79,6,3.85
118,Katsuura,JP,2021-04-19 01:05:01,35.1333,140.3,62.6,31,0,17.27
119,Moose Factory,CA,2021-04-19 01:07:50,51.2585,-80.6094,39.2,65,1,10.36
120,Newport,GB,2021-04-19 01:07:51,51.5877,-2.9984,42.01,82,58,2.06
121,Ribeira Grande,PT,2021-04-19 01:07:51,38.5167,-28.7,61.59,83,82,7.34
122,Ayan,RU,2021-04-19 01:07:52,56.45,138.1667,30.88,96,100,10.51
123,Hermanus,ZA,2021-04-19 01:04:48,-34.4187,19.2345,64.99,91,100,11.1
124,Moldava Nad Bodvou,SK,2021-04-19 01:07:52,48.6143,20.9996,45.0,93,90,3.44
125,Mahebourg,MU,2021-04-19 01:07:53,-20.4081,57.7,78.8,83,40,11.5
126,Aklavik,CA,2021-04-19 01:07:53,68.2191,-135.0107,48.2,37,47,8.05
127,Bengkulu,ID,2021-04-19 01:07:53,-3.8004,102.2655,77.29,83,27,3.44
128,Kamaishi,JP,2021-04-19 01:07:54,39.2667,141.8833,53.6,62,75,13.8
129,Mackenzie,CA,2021-04-19 01:07:54,55.2999,-123.1698,46.4,36,1,13.8
130,Fortuna,US,2021-04-19 01:07:54,40.5982,-124.1573,57.99,87,1,11.5
131,Biak,ID,2021-04-19 01:07:55,-0.9131,122.8766,77.27,82,100,6.46
132,Tsogni,GA,2021-04-19 01:07:56,-2.7942,10.0988,77.2,88,100,4.05
133,Port Elizabeth,ZA,2021-04-19 01:07:56,-33.918,25.5701,69.8,40,0,31.07
134,Ambon,ID,2021-04-19 01:07:56,-3.6954,128.1814,77.0,94,40,5.75
135,Vargashi,RU,2021-04-19 01:07:57,55.3556,65.8467,21.27,46,1,10.98
136,Puerto Ayora,EC,2021-04-19 01:07:57,-0.7393,-90.3518,77.0,96,100,4.0
137,Steamboat Springs,US,2021-04-19 01:07:58,40.485,-106.8317,48.0,31,40,6.91
138,Vanimo,PG,2021-04-19 01:07:58,-2.6741,141.3028,84.88,65,41,4.07
139,Katobu,ID,2021-04-19 01:07:59,-4.9408,122.5276,82.26,74,74,3.27
140,Tazovskiy,RU,2021-04-19 01:07:59,67.4667,78.7,-9.53,97,50,10.54
141,Russell,US,2021-04-19 01:07:59,32.3502,-85.1999,68.0,55,75,4.61
142,Port Moresby,PG,2021-04-19 01:08:00,-9.4431,147.1797,86.0,70,40,4.61
143,Treinta Y Tres,UY,2021-04-19 01:08:00,-33.2333,-54.3833,58.82,93,30,7.31
144,Goderich,CA,2021-04-19 01:08:01,43.7501,-81.7165,46.4,61,10,4.61
145,Parabel,RU,2021-04-19 01:08:01,58.6978,81.4825,5.49,89,100,17.45
